stat,horizon_years,sigma,value
skew,1,0.0,0.0
skew,1,0.02,0.188
skew,1,0.04,0.385
skew,1,0.06,0.579
skew,1,0.08,0.779
skew,1,0.1,0.997
skew,1,0.12,1.222
skew,1,0.14,1.471
skew,1,0.16,1.724
skew,1,0.18,2.014
skew,1,0.2,2.306
skew,5,0.0,0.0
skew,5,0.02,0.46
skew,5,0.04,0.959
skew,5,0.06,1.549
skew,5,0.08,2.322
skew,5,0.1,3.314
skew,5,0.12,4.57
skew,5,0.14,8.352
skew,5,0.16,9.44
skew,5,0.18,15.196
skew,5,0.2,23.814
skew,10,0.0,0.0
skew,10,0.02,0.667
skew,10,0.04,1.478
skew,10,0.06,2.618
skew,10,0.08,4.655
skew,10,0.1,8.55
skew,10,0.12,11.058
skew,10,0.14,23.849
skew,10,0.16,61.148
skew,10,0.18,42.597
skew,10,0.2,53.323
median,1,0.0,0.0617
median,1,0.02,0.0594
median,1,0.04,0.0524
median,1,0.06,0.0411
median,1,0.08,0.0246
median,1,0.1,0.0048
median,1,0.12,-0.0194
median,1,0.14,-0.0483
median,1,0.16,-0.0802
median,1,0.18,-0.1171
median,1,0.2,-0.1555
median,5,0.0,0.3489
median,5,0.02,0.333
median,5,0.04,0.2876
median,5,0.06,0.2142
median,5,0.08,0.1157
median,5,0.1,0.0036
median,5,0.12,-0.1218
median,5,0.14,-0.2519
median,5,0.16,-0.3798
median,5,0.18,-0.5032
median,5,0.2,-0.6104
median,10,0.0,0.8194
median,10,0.02,0.7772
median,10,0.04,0.656
median,10,0.06,0.4733
median,10,0.08,0.2432
median,10,0.1,0.0014
median,10,0.12,-0.2348
median,10,0.14,-0.4456
median,10,0.16,-0.6198
median,10,0.18,-0.7574
median,10,0.2,-0.8528
pct_positive,1,0.0,1.0
pct_positive,1,0.02,0.7977
pct_positive,1,0.04,0.6439
pct_positive,1,0.06,0.5769
pct_positive,1,0.08,0.5349
pct_positive,1,0.1,0.5056
pct_positive,1,0.12,0.4814
pct_positive,1,0.14,0.46
pct_positive,1,0.16,0.4412
pct_positive,1,0.18,0.4231
pct_positive,1,0.2,0.4073
pct_positive,5,0.0,1.0
pct_positive,5,0.02,0.9682
pct_positive,5,0.04,0.7927
pct_positive,5,0.06,0.6612
pct_positive,5,0.08,0.5699
pct_positive,5,0.1,0.5018
pct_positive,5,0.12,0.4455
pct_positive,5,0.14,0.3966
pct_positive,5,0.16,0.3537
pct_positive,5,0.18,0.3137
pct_positive,5,0.2,0.2793
pct_positive,10,0.0,1.0
pct_positive,10,0.02,0.9957
pct_positive,10,0.04,0.8749
pct_positive,10,0.06,0.7209
pct_positive,10,0.08,0.5968
pct_positive,10,0.1,0.5005
pct_positive,10,0.12,0.4206
pct_positive,10,0.14,0.3524
pct_positive,10,0.16,0.2947
pct_positive,10,0.18,0.242
pct_positive,10,0.2,0.2002
p99,1,0.0,0.062
p99,1,0.02,0.242
p99,1,0.04,0.446
p99,1,0.06,0.671
p99,1,0.08,0.921
p99,1,0.1,1.201
p99,1,0.12,1.508
p99,1,0.14,1.848
p99,1,0.16,2.215
p99,1,0.18,2.615
p99,1,0.2,3.047
p99,5,0.0,0.349
p99,5,0.02,0.905
p99,5,0.04,1.631
p99,5,0.06,2.552
p99,5,0.08,3.665
p99,5,0.1,4.988
p99,5,0.12,6.551
p99,5,0.14,8.193
p99,5,0.16,10.179
p99,5,0.18,12.055
p99,5,0.2,14.147
p99,10,0.0,0.819
p99,10,0.02,1.948
p99,10,0.04,3.559
p99,10,0.06,5.772
p99,10,0.08,8.392
p99,10,0.1,11.688
p99,10,0.12,15.25
p99,10,0.14,19.153
p99,10,0.16,22.589
p99,10,0.18,24.857
p99,10,0.2,27.266
