stat,horizon_years,n_stocks,value
mean,1,1,0.1656
mean,10,1,2.4538
mean,90,1,9498.26
median,1,1,0.0406
median,10,1,0.2772
median,90,1,0.095
skew,1,1,6.99
skew,10,1,65.03
skew,90,1,96.45
pct_positive,1,1,0.5359
pct_positive,10,1,0.5618
pct_positive,90,1,0.5076
pct_above_tbill,1,1,0.5079
pct_above_tbill,10,1,0.4777
pct_above_tbill,90,1,0.2745
pct_above_vw,1,1,0.4286
pct_above_vw,10,1,0.2938
pct_above_vw,90,1,0.0397
mean,1,5,0.1316
mean,10,5,1.918
mean,90,5,8954.97
median,1,5,0.1072
median,10,5,1.2364
median,90,5,949.36
skew,1,5,1.08
skew,10,5,9.03
skew,90,5,47.24
pct_positive,1,5,0.6433
pct_positive,10,5,0.836
pct_positive,90,5,0.9994
pct_above_tbill,1,5,0.5998
pct_above_tbill,10,5,0.7229
pct_above_tbill,90,5,0.9648
pct_above_vw,1,5,0.472
pct_above_vw,10,5,0.4077
pct_above_vw,90,5,0.2268
mean,1,25,0.1226
mean,10,25,1.8188
mean,90,25,6355.47
median,1,25,0.1252
median,10,25,1.3977
median,90,25,3174.56
skew,1,25,0.1
skew,10,25,1.64
skew,90,25,10.02
pct_positive,1,25,0.7
pct_positive,10,25,0.9596
pct_positive,90,25,1.0
pct_above_tbill,1,25,0.6494
pct_above_tbill,10,25,0.8686
pct_above_tbill,90,25,1.0
pct_above_vw,1,25,0.4869
pct_above_vw,10,25,0.4537
pct_above_vw,90,25,0.3681
mean,1,50,0.1208
mean,10,50,1.798
mean,90,50,5860.71
median,1,50,0.129
median,10,50,1.4009
median,90,50,3843.32
skew,1,50,-0.09
skew,10,50,1.15
skew,90,50,4.4
pct_positive,1,50,0.7121
pct_positive,10,50,0.9838
pct_positive,90,50,1.0
pct_above_tbill,1,50,0.6619
pct_above_tbill,10,50,0.907
pct_above_tbill,90,50,1.0
pct_above_vw,1,50,0.491
pct_above_vw,10,50,0.467
pct_above_vw,90,50,0.4094
mean,1,100,0.1195
mean,10,100,1.7805
mean,90,100,5441.81
median,1,100,0.1318
median,10,100,1.376
median,90,100,4217.49
skew,1,100,-0.21
skew,10,100,0.9
skew,90,100,2.95
pct_positive,1,100,0.72
pct_positive,10,100,0.9957
pct_positive,90,100,1.0
pct_above_tbill,1,100,0.6709
pct_above_tbill,10,100,0.9308
pct_above_tbill,90,100,1.0
pct_above_vw,1,100,0.4928
pct_above_vw,10,100,0.4754
pct_above_vw,90,100,0.4329
